SampleName
A549DRSRep1Run1
A549DRSRep4Run1
A549DRSRep5Run1
A549DRSRep6Run1
H9DRSRep1Run1
H9DRSRep2Run1
H9DRSRep2Run2
H9DRSRep3Run1
H9DRSRep3Run2
H9DRSRep4Run1
H9DRSRep4Run2
Hct116DRSRep1Run1
Hct116DRSRep1Run2
Hct116DRSRep1Run3
Hct116DRSRep2Run1
Hct116DRSRep2Run2
Hct116DRSRep2Run3
Hct116DRSRep2Run4
Hct116DRSRep2Run5
Hct116DRSRep2Run6
Hct116DRSRep3Run1
Hct116DRSRep3Run4
Hct116DRSRep4Run3
Hct116DRSRep6Run1
Hek293TDRSRep1Run1
Hek293TDRSRep2Run1
Hek293TDRSRep3Run1
Hek293TDRSRep4Run1
HepG2DRSRep1Run3
HepG2DRSRep2Run1
HepG2DRSRep3Run1
HepG2DRSRep5Run1
HepG2DRSRep5Run2
HepG2DRSRep6Run1
HEYA8DRSRep1Run1
HEYA8DRSRep1Run2
HEYA8DRSRep2Run1
HEYA8DRSRep2Run2
HEYA8DRSRep3Run1
IM95DRSRep1Run1
K562DRSRep1Run1
K562DRSRep4Run1
K562DRSRep5Run1
K562DRSRep6Run1
MCF7DRSRep1Run1
MCF7DRSRep2Run2
MCF7DRSRep2Run3
MCF7DRSRep3Run1
MCF7DRSRep4Run1
MCF7EVDRSRep1Run1
MCF7EVDRSRep2Run1
mixivt
mixivt2
MyelomaN082DRSRep1Run1
MyelomaN104DRSRep1Run1
MyelomaN122DRSRep1Run1
NCC24DRSRep1Run1
